"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.718591006E0,1.269988894E0,-5.074763298E-1,2.709187269E-1
1.728591006E0,1.427133918E0,-6.330091357E-1,2.431243658E-1
1.738591006E0,1.594663739E0,-7.965682745E-1,2.211332172E-1
1.748591006E0,1.724930763E0,-9.103419185E-1,2.240348309E-1
1.758591006E0,1.760208249E0,-8.880453706E-1,2.496911734E-1
1.768591006E0,1.678504944E0,-8.167268038E-1,2.684752643E-1
1.778591006E0,1.530828357E0,-6.811147332E-1,2.805398703E-1
1.788591006E0,1.415069342E0,-5.290092826E-1,2.570215464E-1
1.798591006E0,1.429882765E0,-4.331034720E-1,2.258674204E-1
1.808591006E0,1.592831135E0,-2.900082767E-1,1.786780804E-1
1.818591006E0,1.817018628E0,-2.382374406E-1,1.456913650E-1
1.828591006E0,1.976607203E0,-3.468187451E-1,1.264491081E-1
1.838591006E0,2.029294252E0,-4.552473128E-1,1.111774743E-1
1.848591006E0,1.988519073E0,-5.511531830E-1,8.017606288E-2
1.858591006E0,1.886504650E0,-5.459607840E-1,5.849034712E-2
1.868591006E0,1.772883654E0,-3.633120954E-1,5.589416996E-2
1.878591006E0,1.701107025E0,-8.979719132E-2,9.773843735E-2
1.888591006E0,1.763109803E0,8.246681094E-2,1.304197311E-1
1.898591006E0,1.921323895E0,1.098030284E-1,1.608102769E-1
1.908591006E0,1.986839175E0,-5.054909736E-2,2.330450863E-1
1.918591006E0,1.939802527E0,-2.412917763E-1,2.602286041E-1
1.928591006E0,1.863749862E0,-2.452623993E-1,1.760819107E-1
1.938591006E0,1.791973233E0,-2.038762718E-1,9.453139454E-2
1.948591006E0,1.795791149E0,-2.136501223E-1,8.597928286E-2
1.958591006E0,1.867262363E0,-2.310597748E-1,5.894849449E-2
1.968591006E0,1.993864179E0,-2.611449063E-1,-2.687807009E-2
1.978591006E0,2.070833206E0,-3.430008292E-1,-1.250746548E-1
1.988591006E0,2.036777496E0,-3.700316250E-1,-1.997529417E-1
1.998591006E0,1.896736622E0,-3.628539443E-1,-2.141082734E-1
2.008591006E0,1.725388885E0,-2.964223623E-1,-1.536326110E-1
2.018591006E0,1.640173197E0,-2.499966025E-1,-7.147123665E-2
2.028591006E0,1.661553502E0,-1.806633919E-1,5.100724846E-2
2.038591006E0,1.737453461E0,-1.580613852E-1,1.169806942E-1
2.048591006E0,1.797929168E0,-1.832595766E-1,1.301143020E-1
2.058591006E0,1.822058320E0,-2.503020465E-1,1.125519201E-1
2.068591006E0,1.786475420E0,-3.730859458E-1,6.933320314E-2
2.078591006E0,1.722945452E0,-5.143485069E-1,1.130100712E-2
2.088591006E0,1.648572564E0,-5.641340613E-1,-8.399397135E-3
2.098591006E0,1.615127683E0,-5.410739183E-1,-3.023782931E-2
2.108591006E0,1.595121861E0,-5.108360648E-1,-4.428773187E-3
2.118591006E0,1.534493446E0,-4.564690590E-1,1.313360315E-2
2.128591006E0,1.463633180E0,-3.814853430E-1,5.513058975E-2
2.138591006E0,1.396743417E0,-4.327980280E-1,1.282816976E-1
2.148591006E0,1.357495308E0,-4.360050559E-1,1.759291887E-1
2.158591006E0,1.352608323E0,-4.387539625E-1,2.064724565E-1
2.168591006E0,1.367269158E0,-4.239404798E-1,2.260201424E-1
2.178591006E0,1.323592305E0,-3.582724631E-1,2.423607856E-1
2.188591006E0,1.218217969E0,-2.748893499E-1,2.307543457E-1
2.198591006E0,1.162171125E0,-1.992947906E-1,2.189951837E-1
2.208591006E0,1.156520605E0,-1.368338168E-1,2.021963894E-1
2.218591006E0,1.133918643E0,-1.971567571E-1,2.008219510E-1
2.228591006E0,1.100015640E0,-2.356412709E-1,2.153300047E-1
2.238591006E0,1.074053764E0,-2.174680233E-1,2.214386463E-1
2.248591006E0,1.052215338E0,-1.319468915E-1,2.147191316E-1
2.258591006E0,1.045953989E0,-1.664607786E-2,2.079996169E-1
2.268591006E0,1.026711702E0,6.520986557E-2,2.084577680E-1
2.278591006E0,9.900598526E-1,1.615738571E-1,2.212859392E-1
2.288591006E0,9.443976879E-1,2.886338234E-1,2.061670274E-1
2.298591006E0,8.000807762E-1,4.711298347E-1,1.670716405E-1
2.308591006E0,5.583308339E-1,6.747006774E-1,1.282816976E-1
2.318591006E0,4.098905921E-1,6.646214128E-1,1.052215397E-1
2.328591006E0,5.488623977E-1,3.051272035E-1,-1.832595794E-3
2.338591006E0,5.419901609E-1,3.568980098E-1,-7.605272532E-2
2.348591006E0,4.957171381E-1,3.260493279E-1,-1.334740520E-1
2.358591006E0,4.651738703E-1,9.361509979E-2,-6.505715102E-2
2.368591006E0,4.540255964E-1,-1.298088580E-1,-2.718350291E-2
2.378591006E0,2.835941911E-1,-1.430951804E-1,4.871650413E-2
2.388591006E0,7.437284291E-2,-9.178250283E-2,8.964447677E-2
2.398591006E0,-2.794708498E-2,-5.726861581E-2,7.284568250E-2
2.408591006E0,-5.742133409E-2,6.017022580E-2,7.238753140E-2
2.418591006E0,-6.826419383E-2,1.444696337E-1,8.384125680E-2
2.428591006E0,-7.712173462E-2,1.701259762E-1,9.498954564E-2
2.438591006E0,-6.001751125E-2,1.812742651E-1,1.084285825E-1
2.448591006E0,-4.245513305E-2,1.545489132E-1,8.750644326E-2
2.458591006E0,-2.489275858E-2,1.096503139E-1,4.077525437E-2
2.468591006E0,0.000000000E0,8.307767659E-2,2.107485011E-2
2.478591006E0,3.527746722E-2,-6.108652335E-3,3.634648025E-2
2.488591006E0,6.979135424E-2,-1.557706390E-2,4.245513305E-2
2.498591006E0,1.036943719E-1,2.641992271E-2,5.115996301E-2
2.508591006E0,1.241583601E-1,7.070764899E-2,6.475171447E-2
2.518591006E0,1.157589629E-1,1.565342247E-1,4.321871698E-2
2.528591006E0,9.117163718E-2,2.765692472E-1,2.076941915E-2
2.538591006E0,6.459899992E-2,3.413209617E-1,-1.985311974E-3
2.548591006E0,6.001751125E-2,3.168863356E-1,-1.435533352E-2
2.558591006E0,1.007927656E-1,2.832887471E-1,-6.352998316E-2
2.568591006E0,7.757988572E-2,1.736384481E-1,-2.000583708E-2
2.578591006E0,5.650503561E-2,7.055493444E-2,-2.550362423E-2
2.588591006E0,4.505131021E-2,-6.872233935E-3,-3.436116874E-2
2.598591006E0,2.519819140E-2,1.267545391E-2,-4.764748737E-2
2.608591006E0,4.886921961E-3,1.817324162E-1,-7.360926270E-2
2.618591006E0,3.207042580E-3,2.335032374E-1,-1.123992056E-1
2.628591006E0,5.345070735E-3,1.488984078E-1,-1.238529310E-1
2.638591006E0,4.276056774E-3,1.304197311E-1,-1.142318025E-1
2.648591006E0,1.832595794E-3,1.316414624E-1,-1.166752651E-1
2.658591006E0,-2.290744567E-3,1.635591686E-1,-1.163698286E-1
2.668591006E0,-4.581489135E-3,1.597412676E-1,-1.140790880E-1
2.678591006E0,-3.665191587E-3,1.794416606E-1,-1.224784851E-1
2.688591006E0,-7.330383174E-3,1.857030392E-1,-1.345430762E-1
2.698591006E0,-1.450804994E-2,1.550070494E-1,-1.493565589E-1
2.708591006E0,-2.412917651E-2,2.748893574E-2,-1.733330190E-1
2.718591006E0,-3.985895589E-2,-1.024726480E-1,-1.886046380E-1
