"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.348155283E0,-1.709073544E0,-9.305088997E0,1.172483087E0
1.358155283E0,-1.858026743E0,-9.318847656E0,1.057029366E0
1.368155283E0,-2.139781713E0,-9.305088997E0,1.046261668E0
1.378155283E0,-2.125424623E0,-9.320044518E0,1.141974568E0
1.388155283E0,-3.091526747E0,-9.930213928E0,6.843472719E-1
1.398155283E0,-2.280958176E0,-8.928219795E0,-2.494517565E-1
1.408155283E0,-1.911267042E0,-8.800203323E0,6.915257573E-1
1.418155283E0,-2.178664923E0,-8.997013092E0,7.944171429E-1
1.428155283E0,-2.225325108E0,-9.260223389E0,1.515853167E0
1.438155283E0,-2.185843468E0,-9.081359863E0,2.048256159E0
1.448155283E0,-2.075773716E0,-8.691329956E0,2.377269268E0
1.458155283E0,-2.079961061E0,-8.483154297E0,2.804388046E0
1.468155283E0,-2.113460541E0,-8.506484032E0,2.641077995E0
1.478155283E0,-2.243869543E0,-8.392825127E0,2.133799553E0
1.488155283E0,-2.392822742E0,-8.288737297E0,1.473380566E0
1.498155283E0,-2.440679073E0,-8.131409645E0,1.588834286E0
1.508155283E0,-2.283949137E0,-8.365307808E0,7.549355626E-1
1.518155283E0,-1.829911113E0,-8.882157326E0,8.207381964E-1
1.528155283E0,-1.679163337E0,-9.329017639E0,1.919641972E0
1.538155283E0,-1.849651933E0,-9.431310654E0,2.938386202E0
1.548155283E0,-1.989033818E0,-9.214161873E0,2.632703066E0
1.558155283E0,-2.262413740E0,-9.283554077E0,2.219342947E0
1.568155283E0,-2.372483730E0,-9.498309135E0,2.078764677E0
1.578155283E0,-2.701496840E0,-8.703892708E0,2.829512835E0
1.588155283E0,-2.348555326E0,-8.810373306E0,2.250449657E0
1.598155283E0,-2.027917147E0,-8.930612564E0,2.375474691E0
1.608155283E0,-2.108076811E0,-9.397212982E0,2.764906645E0
1.618155283E0,-3.327219963E0,-9.151947975E0,3.154338360E0
1.628155283E0,-2.507079840E0,-8.598010063E0,1.983051777E0
1.638155283E0,-2.370688915E0,-6.872784615E0,3.847658873E0
1.648155283E0,-2.006381750E0,-7.176673412E0,4.350151539E0
