Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
74.26565148,-0.1710422635,-2.969110489,0.1679879427
74.27565148,0.05024366826,-2.780353069,-0.03649919853
74.28565148,0.2793181241,-2.515542984,-0.2344195396
74.29565148,0.4254676402,-2.190562725,-0.4025602043
74.30565148,0.515112102,-1.748754501,-0.5371032953
74.31565148,0.5642867684,-1.299157619,-0.5849034786
74.32565148,0.5546656251,-0.8736900091,-0.6203336716
74.33565148,0.5355761051,-0.6985244155,-0.6377432942
74.34565148,0.5332853794,-0.7107416987,-0.6426302195
74.35565148,0.5647448897,-0.7855727077,-0.582154572
74.36565148,0.6081163287,-0.8061894178,-0.5273294449
74.37565148,0.6511823535,-0.8156577945,-0.492051959
74.38565148,0.7003570199,-0.8263479471,-0.464104861
74.39565148,0.7701483369,-0.6837109327,-0.401185751
74.40565148,0.8303185701,-0.5684100986,-0.2883284092
74.41565148,0.8068002462,-0.54718256,-0.1808161139
74.42565148,0.7287622094,-0.5829181671,-0.09666942805
74.43565148,0.5720753074,-0.6293439269,0.005955935922
74.44565148,0.3634648323,-0.6284276247,0.08689557761
74.45565148,0.149661988,-0.6102544069,0.1447750628
74.46565148,0.004276056774,-0.5716171265,0.1792889535
74.47565148,-0.1340849251,-0.4813618064,0.2069306076
74.48565148,-0.1941024363,-0.3891211748,0.2503020465
74.49565148,-0.1875356287,-0.3048217595,0.3092505336
74.50565148,-0.1403462887,-0.2444988191,0.3681990206
74.51565148,-0.08918632567,-0.2000583708,0.4182899892
74.52565148,-0.006414085161,-0.1345430762,0.4685336351
74.53565148,0.09361509979,-0.0613919571,0.5177083015
74.54565148,0.1818851233,0.05711590126,0.558483541
74.55565148,0.2373211533,0.1556179225,0.5844452977
74.56565148,0.2964223623,0.255494386,0.6044511795
74.57565148,0.3610213697,0.306501627,0.6094908118
74.58565148,0.428521961,0.3036000133,0.5958990455
74.59565148,0.511141479,0.2667953968,0.5589417219
74.60565148,0.5703954101,0.2344195396,0.5270239711
74.61565148,0.6336199641,0.1863138974,0.4996877611
74.62565148,0.672257185,0.1206458881,0.4822781086
74.63565148,0.6621779203,0.04092797264,0.4622722864
74.64565148,0.6246097088,-0.008399397135,0.4376849532
74.65565148,0.5604688525,-0.09453139454,0.3799581826
74.66565148,0.5056437254,-0.1475239545,0.3126102984
74.67565148,0.4586070776,-0.1134682223,0.2506074607
74.68565148,0.4098905921,-0.04138612002,0.1973094791
74.69565148,0.3376557529,0.04291328415,0.1174388453
74.70565148,0.314442873,0.1412625909,0.0251981914
74.71565148,0.3239113092,0.2903137207,-0.09117163718
74.72565148,0.2976440787,0.436768651,-0.2344195396
74.73565148,0.2353358418,0.5114469528,-0.3413209617
74.74565148,0.1108720452,0.551153183,-0.4483750761
74.75565148,-0.04886921868,0.5572618246,-0.5421429276
74.76565148,-0.2330450863,0.5458080769,-0.624915123
74.77565148,-0.3972151279,0.5100724697,-0.6785185933
74.78565148,-0.605214715,0.4491386712,-0.7309002876
74.79565148,-0.8171849847,0.3992004395,-0.7771732807
74.80565148,-1.052062631,0.4349360466,-0.8229882121
74.81565148,-1.344667077,0.5791002512,-0.8828529716
74.82565148,-1.631162882,0.7234171629,-0.9401215911
74.83565148,-1.992642403,0.8718574047,-1.035111189
74.84565148,-2.281429052,1.010218382,-1.127962708
74.85565148,-2.477516651,1.081689596,-1.141859889
74.86565148,-2.514321327,1.083522201,-1.107651353
74.87565148,-2.404518366,1.042594314,-1.020144939
74.88565148,-2.116800785,0.9042332768,-0.9236282706
74.89565148,-1.89887464,0.7382306457,-0.850477159
74.90565148,-1.765247822,0.5225952268,-0.818864882
74.91565148,-1.530522823,0.3904955983,-0.8541423082
74.92565148,-1.164156437,0.4625777006,-0.9593638778
74.93565148,-0.8907942176,0.602465868,-1.095892191
74.94565148,-0.7386888266,0.8399397135,-1.153466344
74.95565148,-0.4575380683,1.05725503,-1.333518863
74.96565148,-0.1795943826,0.9917397499,-1.540602207
74.97565148,-0.02962696366,0.7606799603,-1.584889889
74.98565148,0.04993823543,0.5422956347,-1.633759141
74.99565148,0.1055269688,0.4059199691,-1.678504944
75.00565148,0.1559233516,0.2875648141,-1.668272972
75.01565148,0.07574728876,-0.1365283877,-1.641089439
75.02565148,0.01221730467,-0.4929682612,-1.597718
75.03565148,-0.07941248268,-0.7533495426,-1.480584621
75.04565148,-0.08613199741,-0.80710572,-1.314734697
75.05565148,-0.008857546374,-0.7913759351,-1.104902506
75.06565148,0.0959058404,-0.8084801435,-0.9109528065
75.07565148,0.1982257664,-0.8365799785,-0.7379252315
75.08565148,0.2790127099,-0.8093964458,-0.5963571668
75.09565148,0.3666718602,-0.7260133624,-0.4263839424
75.10565148,0.4161519408,-0.6481280327,-0.2441933751
75.11565148,0.4256203473,-0.5926920176,-0.04001167417
75.12565148,0.4224133193,-0.5140430927,0.1398881376
75.13565148,0.4201225638,-0.5251913667,0.3596469164
75.14565148,0.4187481403,-0.6108652353,0.5496259928
75.15565148,0.4152356386,-0.7319692969,0.7209737301
75.16565148,0.4254676402,-0.8700248003,0.8643743396
75.17565148,0.4463897645,-0.9757044911,0.9613491893
75.18565148,0.5006040931,-1.105513334,1.042441487
75.19565148,0.5801692605,-1.196684957,1.074817419
75.20565148,0.6760751009,-1.206611633,1.04641211
75.21565148,0.7292203903,-1.134529471,1.000291824
75.22565148,0.728151381,-1.03251493,0.9398161769
75.23565148,0.6243042946,-0.9662361145,0.928209722
75.24565148,0.4190535545,-0.8402451277,0.8095491529
75.25565148,0.1698205322,-0.6262896061,0.6365215778
75.26565148,0.05726861581,-0.3468187451,0.4234823287
75.27565148,0.04948008433,0.01160643995,0.09453139454
75.28565148,0.09101892263,0.2415972054,-0.169209674
75.29565148,0.1379028261,0.3346014321,-0.2493857294
75.30565148,0.173027575,0.381485343,-0.235793978
75.31565148,0.1970040351,0.4350887835,-0.1452332139
75.32565148,0.1762346178,0.4305072725,-0.004734205548
75.33565148,0.08399397135,0.456469059,0.200669229
75.34565148,-0.01924225502,0.4763221741,0.3961461186
75.35565148,-0.1221730486,0.3636175394,0.6094908118
75.36565148,-0.1800525337,0.0545197241,0.7385360599
75.37565148,-0.1876883507,-0.2608394623,0.7783950567
75.38565148,-0.1424843222,-0.4662429094,0.7783950567
75.39565148,-0.1142318025,-0.5824599862,0.7849618196
75.40565148,-0.07788532227,-0.6507241726,0.7932085395
75.41565148,-0.03924809024,-0.5891795158,0.803135097
75.42565148,-0.01282817032,-0.5288565755,0.8168795705
75.43565148,-0.02122756653,-0.5572618246,0.8423831463
75.44565148,-0.05345070735,-0.63743788,0.8749117255
75.45565148,-0.09300423414,-0.8342891932,0.9143125415
75.46565148,-0.137750119,-1.123228431,0.9775370955
75.47565148,-0.1864666194,-1.376890302,1.06290555
75.48565148,-0.1699732542,-1.423468709,1.095586777
75.49565148,-0.03481931984,-1.436144233,1.015868902
75.50565148,0.3651446998,-1.189201951,0.8248208165
75.51565148,0.9457721114,-0.743881166,0.6041457057
75.52565148,1.407586217,-0.3156646192,0.3773620129
75.53565148,1.85916841,0.1342376322,0.1701259762
75.54565148,2.147649527,0.7037167549,-0.01160643995
75.55565148,2.275473118,1.357953429,-0.1316414624
75.56565148,2.254398108,1.482875347,-0.1443169117
75.57565148,2.070833206,1.655292153,-0.2066251636
75.58565148,1.783268332,1.792278647,-0.2724458873
75.59565148,1.525941372,1.740355134,-0.2906191349
75.60565148,1.316414595,1.587180614,-0.2800817192
75.61565148,1.146594048,1.519069195,-0.2533563673
75.62565148,0.9039278626,1.475697756,-0.2177734673
75.63565148,0.6771441102,1.336878538,-0.1814269722
75.64565148,0.4499022663,1.007927656,-0.1279762685
75.65565148,0.2994766831,0.8370380998,-0.1163698286
75.66565148,0.1255328059,0.6829473376,-0.09850201756
75.67565148,-0.01802052557,0.5633704662,-0.05009094998
75.68565148,-0.1128573567,0.4824308157,0.002138028387
75.69565148,-0.1701259762,0.4532620013,0.06673702598
75.70565148,-0.1910481006,0.4624249935,0.1266018152
75.71565148,-0.1766927689,0.5015203953,0.1756237596
75.72565148,-0.1093448773,0.5106833577,0.2196060568
75.73565148,0.01160643995,0.4637994468,0.2825251818
75.74565148,0.1249219403,0.4279111028,0.3480404615
75.75565148,0.2553416789,0.4141666293,0.4430300295
75.76565148,0.3665191531,0.3643811047,0.5743660331
75.77565148,0.4256203473,0.2379320115,0.7249443531
75.78565148,0.4376849532,0.1446223408,0.7672467232
75.79565148,0.4379903674,0.1149953827,0.7927503586
75.80565148,0.4271475375,0.09666942805,0.7681630254
75.81565148,0.4059199691,0.01572977938,0.7324274182
75.82565148,0.3853032589,-0.1191187203,0.68539083
75.83565148,0.3824016452,-0.1973094791,0.6323982477
75.84565148,0.3972151279,-0.2139555514,0.559094429
75.85565148,0.4352414906,-0.2044871449,0.4870123267
75.86565148,0.4570799172,-0.1916589737,0.4199698567
75.87565148,0.4581489265,-0.173027575,0.3808744848
75.88565148,0.4234823287,-0.1487456858,0.3494149148
75.89565148,0.3474296033,-0.1603521258,0.3200933933
75.90565148,0.2571742535,-0.2188424766,0.2773328125
75.91565148,0.1965458989,-0.2901609838,0.2086104751
75.92565148,0.1331686229,-0.3455969989,0.1351539344
75.93565148,0.01985312067,-0.4269948006,-0.01649336144
75.94565148,-0.09040805697,-0.4699080884,-0.2191479057
75.95565148,-0.1719585657,-0.4280638099,-0.4141666293
75.96565148,-0.224492982,-0.3471241891,-0.5381723046
75.97565148,-0.3694207668,-0.2328923792,-0.6433938146
75.98565148,-0.5988006592,-0.1504255682,-0.7170031071
75.99565148,-0.8620835543,0.008857546374,-0.7780895829
76.00565148,-1.107651353,0.2307543457,-0.8265006542
76.01565148,-1.493718266,0.6276640296,-0.8785769343
76.02565148,-1.959197521,1.089936256,-0.924239099
76.03565148,-2.424066067,1.379181027,-0.9694431424
76.04565148,-2.732705593,1.307557106,-1.03404212
76.05565148,-2.825557232,1.036943793,-1.081689596
76.06565148,-2.767524958,0.5470298529,-1.038012743
