"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.346179978E0,-7.345965505E-1,3.514458179E0,9.230911255E0
1.356179978E0,-6.484549642E-1,3.428316593E0,9.225527763E0
1.366179978E0,-6.436693072E-1,3.543172121E0,9.235696793E0
1.376179978E0,-6.197410822E-1,3.485744476E0,9.240483284E0
1.386179978E0,-5.341976285E-1,3.434298754E0,9.092127800E0
1.396179978E0,-5.006981492E-1,3.497110367E0,8.968298912E0
1.406179978E0,-4.965106845E-1,3.479164124E0,8.852845192E0
1.416179978E0,-7.597211599E-1,3.556332588E0,8.699107170E0
1.426179978E0,-9.996016622E-1,3.975076675E0,8.265407562E0
1.436179978E0,-1.487139225E0,4.202992916E0,8.494520187E0
1.446179978E0,-1.467398524E0,4.156930923E0,8.925228119E0
1.456179978E0,-1.548156261E0,4.113262177E0,9.049057007E0
1.466179978E0,-1.361516118E0,3.439084291E0,8.968897820E0
1.476179978E0,-1.222732425E0,3.485744476E0,9.156734467E0
1.486179978E0,-1.011565804E0,3.646661758E0,9.531808853E0
1.496179978E0,-1.050449133E0,3.615555048E0,9.143573761E0
1.506179978E0,-1.084546804E0,3.708875179E0,8.708678246E0
1.516179978E0,-1.012762189E0,3.900300980E0,8.781659126E0
1.526179978E0,-1.094118118E0,4.118646145E0,8.988637924E0
1.536179978E0,-1.204187989E0,4.094717979E0,8.992825508E0
1.546179978E0,-1.256830096E0,4.066602230E0,8.916254997E0
1.556179978E0,-1.204187989E0,4.037290096E0,8.992825508E0
1.566179978E0,-1.074975610E0,3.950550079E0,9.093324661E0
1.576179978E0,-9.074779749E-1,3.597010612E0,9.034101486E0
1.586179978E0,-6.873382926E-1,3.362514019E0,9.052646637E0
1.596179978E0,-4.767699242E-1,3.228515863E0,9.105288506E0
1.606179978E0,-4.145565331E-1,3.467798233E0,9.059226990E0
1.616179978E0,-4.959124923E-1,3.486342669E0,9.217152596E0
1.626179978E0,-5.102694035E-1,3.300898790E0,8.961718559E0
1.636179978E0,-4.576273263E-1,3.367897987E0,8.996415138E0
1.646179978E0,-5.150550604E-1,3.373281717E0,8.914461136E0
1.656179978E0,-5.539384484E-1,3.311666489E0,8.794221878E0
1.666179978E0,-5.629115105E-1,3.287140131E0,8.933005333E0
1.676179978E0,-4.911268353E-1,3.233899832E0,9.023932457E0
1.686179978E0,-3.714857101E-1,3.060420275E0,9.190832138E0
1.696179978E0,-3.182454109E-1,2.940180779E0,9.305088997E0
1.706179978E0,-2.177468538E-1,2.939582586E0,9.396614075E0
1.716179978E0,-1.746760458E-1,2.905484915E0,9.549755096E0
1.726179978E0,-7.896314561E-2,2.852244616E0,9.621540070E0
1.736179978E0,-5.982056633E-2,2.837887764E0,9.645467758E0
1.746179978E0,-1.549352705E-1,2.856431961E0,9.707681656E0
1.756179978E0,-2.554338276E-1,2.851646423E0,9.697511673E0
1.766179978E0,-3.224328458E-1,2.866601467E0,9.606584549E0
1.776179978E0,-3.176472187E-1,2.885744095E0,9.539586067E0
1.786179978E0,-2.943171859E-1,2.919841766E0,9.463015556E0
1.796179978E0,-2.943171859E-1,2.997608662E0,9.339186668E0
1.806179978E0,-2.949153781E-1,3.089133978E0,9.220144272E0
1.816179978E0,-2.901297510E-1,3.108276606E0,9.191430092E0
1.826179978E0,-3.230310678E-1,3.103491068E0,9.248857498E0
1.836179978E0,-3.565305769E-1,3.112463951E0,9.334999084E0
1.846179978E0,-2.512463629E-1,3.025724173E0,9.382855415E0
1.856179978E0,-2.273181528E-1,2.982653379E0,9.420542717E0
1.866179978E0,-2.321037948E-1,2.953939438E0,9.401400566E0
1.876179978E0,-2.416750938E-1,3.002992392E0,9.262616158E0
1.886179978E0,-2.422732860E-1,3.123231649E0,9.105288506E0
1.896179978E0,-3.379862010E-1,3.214757204E0,8.971888542E0
1.906179978E0,-4.719842672E-1,3.239283562E0,8.880363464E0
1.916179978E0,-4.767699242E-1,3.229712248E0,8.933005333E0
1.926179978E0,-4.815555513E-1,3.175873756E0,9.071190834E0
1.936179978E0,-4.815555513E-1,3.175873756E0,9.071190834E0
1.946179978E0,-4.815555513E-1,3.175873756E0,9.071190834E0
1.956179978E0,-4.815555513E-1,3.175873756E0,9.071190834E0
1.966179978E0,-4.815555513E-1,3.175873756E0,9.071190834E0
1.976179978E0,-4.815555513E-1,3.175873756E0,9.071190834E0
1.986179978E0,-4.815555513E-1,3.175873756E0,9.071190834E0
1.996179978E0,-4.815555513E-1,3.175873756E0,9.071190834E0
2.049253589E0,-2.770290375E0,5.208576679E0,7.533802032E0
2.059253589E0,-2.818146944E0,5.172684193E0,7.834699631E0
2.069253589E0,-2.860619545E0,5.105087280E0,7.978269100E0
2.079253589E0,-2.826521635E0,5.056034088E0,8.188239098E0
2.089253589E0,-2.850450039E0,5.155336380E0,8.313263893E0
2.099253589E0,-2.912663460E0,5.193621635E0,8.289336205E0
2.109253589E0,-2.783450842E0,5.060221672E0,8.198408127E0
2.119253589E0,-2.659622431E0,5.003392220E0,8.198408127E0
2.129253589E0,-2.348555326E0,4.985445976E0,8.017750740E0
2.139253589E0,-2.425125837E0,4.884349346E0,8.097909927E0
2.149253589E0,-2.233700037E0,4.826921463E0,8.165507317E0
2.159253589E0,-2.172084808E0,4.941776752E0,8.089534760E0
2.169253589E0,-2.181656122E0,5.009374142E0,8.042277336E0
2.179253589E0,-2.511267424E0,4.980062008E0,8.112865448E0
2.189253589E0,-2.487339020E0,4.840680122E0,8.202595711E0
2.199253589E0,-2.133201361E0,4.511068821E0,8.154141426E0
2.209253589E0,-1.779063582E0,4.529613495E0,8.275577545E0
2.219253589E0,-1.635494232E0,4.690530777E0,8.578866959E0
2.229253589E0,-1.530210137E0,4.466203690E0,8.467600822E0
2.239253589E0,-1.520638824E0,4.121636868E0,8.508278847E0
2.249253589E0,-1.319641709E0,4.106681824E0,8.575876236E0
2.259253589E0,-1.223928809E0,3.963112593E0,8.628518105E0
2.269253589E0,-1.199402332E0,3.894917011E0,8.838488579E0
2.279253589E0,-1.208973646E0,3.937389612E0,8.953942299E0
2.289253589E0,-1.122832060E0,4.032504559E0,9.026325226E0
2.299253589E0,-1.203589797E0,3.882354736E0,9.273982048E0
2.309253589E0,-9.882357717E-1,3.825525284E0,9.250652313E0
2.319253589E0,-9.930213690E-1,3.854238987E0,9.188439369E0
2.329253589E0,-8.548358679E-1,3.549154282E0,9.010173798E0
2.339253589E0,-9.074779749E-1,3.358326674E0,8.970691681E0
2.349253589E0,-7.351947427E-1,3.329612732E0,9.013762474E0
2.359253589E0,-5.862415433E-1,3.113062143E0,9.199805260E0
2.369253589E0,-2.751746178E-1,2.863012314E0,9.415159225E0
2.379253589E0,-2.697907388E-1,2.760719061E0,9.663414001E0
2.389253589E0,-2.650051117E-1,2.784049034E0,9.744770050E0
2.399253589E0,-3.942175210E-1,2.971885681E0,9.597013474E0
2.409253589E0,-4.713860750E-1,3.016751051E0,9.281160355E0
2.419253589E0,-6.149554253E-1,2.868396044E0,9.241081238E0
2.429253589E0,-6.293123364E-1,2.974278450E0,9.131608963E0
2.439253589E0,-7.872386575E-1,2.936591625E0,9.083154678E0
2.449253589E0,-5.048855543E-1,2.860021353E0,9.126823425E0
2.459253589E0,-2.799602449E-1,2.802593470E0,9.165707588E0
2.469253589E0,-1.256231871E-2,2.682952404E0,9.132207870E0
2.479253589E0,8.374879509E-2,2.662613392E0,9.348159790E0
2.489253589E0,-3.589234129E-2,2.661417007E0,9.510273933E0
2.499253589E0,1.698904037E-1,2.447857618E0,9.275178909E0
2.509253589E0,3.367897868E-1,2.748754978E0,9.416355133E0
2.519253589E0,2.153540403E-2,2.704487801E0,9.568299294E0
2.529253589E0,2.895315289E-1,2.323430777E0,9.332606316E0
2.539253589E0,5.425725579E-1,2.295315027E0,9.232706070E0
2.549253589E0,7.292127013E-1,2.486740828E0,9.229715347E0
2.559253589E0,5.377869010E-1,2.400599241E0,9.185447693E0
2.569253589E0,4.660021961E-1,2.535195589E0,9.138189316E0
2.579253589E0,3.218346536E-1,2.407179594E0,8.935398102E0
2.589253589E0,-1.256231871E-2,2.531008244E0,8.934800148E0
2.599253589E0,-3.134597540E-1,2.395813704E0,9.105288506E0
2.609253589E0,-2.620140910E-1,2.662015200E0,8.671588898E0
2.619253589E0,-5.718846321E-1,2.878565550E0,9.179466248E0
2.629253589E0,3.110669367E-2,2.643470764E0,9.347561836E0
2.639253589E0,3.421736360E-1,2.441277266E0,9.625128746E0
2.649253589E0,1.097707391E0,2.503490686E0,9.638289452E0
2.659253589E0,1.394417405E0,2.560918331E0,9.740582466E0
2.669253589E0,1.006181955E0,1.893919110E0,9.159725189E0
2.679253589E0,1.125823021E0,2.617149830E0,9.155537605E0
2.689253589E0,1.153938770E0,2.513062000E0,8.963513374E0
2.699253589E0,1.110867858E0,2.394019127E0,8.804390907E0
2.709253589E0,1.393221021E0,2.341377020E0,8.876773834E0
2.719253589E0,1.827518344E0,2.554338217E0,8.539983749E0
2.729253589E0,2.066800594E0,1.760519266E0,8.507082939E0
2.739253589E0,2.215753794E0,2.513062000E0,9.106484413E0
2.749253589E0,2.172084808E0,2.566900492E0,8.848059654E0
2.759253589E0,2.181057930E0,2.155334949E0,8.117650986E0
2.769253589E0,2.100300074E0,2.535793781E0,8.526823044E0
2.779253589E0,1.976471543E0,2.637488842E0,9.000602722E0
2.789253589E0,1.923829436E0,2.474776745E0,9.013762474E0
2.799253589E0,1.727617979E0,2.231307030E0,8.882157326E0
2.809253589E0,1.450648785E0,2.201396942E0,9.077172279E0
2.819253589E0,1.345962763E0,2.357528448E0,9.365508080E0
2.829253589E0,1.413560033E0,2.399402857E0,9.519247055E0
2.839253589E0,1.369890928E0,2.338385820E0,9.308079720E0
2.849253589E0,1.580459356E0,2.290529490E0,9.322437286E0
2.859253589E0,1.368694544E0,2.438286304E0,8.714659691E0
2.869253589E0,9.044869542E-1,2.548954248E0,8.541180611E0
2.879253589E0,7.758727670E-1,2.724826813E0,8.651848793E0
2.889253589E0,1.005583763E0,2.895913601E0,8.946166039E0
2.899253589E0,1.293918848E0,3.044268608E0,9.747760773E0
2.909253589E0,1.475773335E0,3.123830080E0,1.000259686E1
2.919253589E0,1.613958836E0,3.088535786E0,9.595816612E0
2.929253589E0,2.461616278E0,3.428316593E0,1.039143085E1
2.939253589E0,2.178664923E0,3.135195971E0,9.828518867E0
2.949253589E0,1.713859200E0,2.907279491E0,9.470791817E0
2.959253589E0,1.364507079E0,2.680559635E0,8.974879265E0
2.969253589E0,1.392622828E0,2.581257343E0,8.749356270E0
2.979253589E0,1.593619823E0,2.528017044E0,8.879166603E0
2.989253589E0,1.914856315E0,2.688934565E0,9.187840462E0
2.999253589E0,2.187638044E0,2.908475876E0,9.376873970E0
