"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.297052363E0,1.835650057E-1,-4.409988880E0,2.022574902E0
1.307052363E0,1.524108797E-1,-4.577213287E0,2.266004562E0
1.317052363E0,1.281289905E-1,-4.591721535E0,2.623666286E0
1.327052363E0,1.281289905E-1,-4.591721535E0,2.623666286E0
1.337052363E0,-2.813034356E-1,-3.659388304E0,2.148260355E0
1.347052363E0,-8.582656831E-2,-2.558303595E0,2.065946341E0
1.357052363E0,4.673119262E-2,-2.166891813E0,2.934596539E0
1.367052363E0,1.974621862E-1,-2.206445217E0,3.520111084E0
1.377052363E0,1.937969923E-1,-2.497675180E0,4.489096165E0
1.387052363E0,2.764165215E-2,-2.485610723E0,5.971513271E0
1.397052363E0,-1.064738154E0,-1.902234316E0,8.643896103E0
1.407052363E0,-1.547932506E0,-1.925447226E0,8.993768692E0
1.417052363E0,-1.810757279E0,-2.530967474E0,8.247596741E0
1.427052363E0,-1.632384658E0,-3.208875179E0,6.834818363E0
1.437052363E0,-1.056033254E0,-3.922518492E0,5.371185303E0
1.447052363E0,6.099489331E-1,-5.026046753E0,3.643505812E0
1.457052363E0,7.805330753E-1,-4.506352901E0,2.682767391E0
1.467052363E0,2.730567753E-1,-3.280193567E0,1.864971638E0
1.477052363E0,-5.487096906E-1,-1.694845676E0,1.310764074E0
1.487052363E0,-1.182482362E0,-1.062905490E-1,9.871582389E-1
1.497052363E0,-1.432479024E0,2.349998713E0,1.249830246E0
1.507052363E0,-1.307098866E0,3.694360256E0,1.364214778E0
1.517052363E0,-8.981246352E-1,4.686558247E0,1.027017236E0
1.527052363E0,-2.316706479E-1,4.893794060E0,3.616322279E-1
1.537052363E0,5.777258277E-1,4.372115135E0,-3.371976018E-1
1.547052363E0,1.208749652E0,3.321732521E0,-8.822421432E-1
1.557052363E0,9.995282292E-1,1.315651059E0,-1.246623278E0
1.567052363E0,3.740022480E-1,1.037249207E0,-1.150717378E0
1.577052363E0,-8.017606288E-2,1.142318010E0,-1.106582403E0
1.587052363E0,-1.789835095E-1,1.420872569E0,-1.129337072E0
1.597052363E0,5.742133409E-2,1.583057284E0,-1.150870085E0
1.607052363E0,6.382014751E-1,2.252871037E0,-1.176373720E0
1.617052363E0,7.556403279E-1,2.510808945E0,-1.260673165E0
1.627052363E0,9.871582389E-1,2.093587875E0,-1.606270194E0
1.637052363E0,1.860542774E0,7.848091125E-1,-2.149482012E0
1.647052363E0,3.162143946E0,-7.260133624E-1,-2.574949741E0
1.657052363E0,4.348138809E0,-2.772259235E0,-2.834567547E0
1.667052363E0,3.859904766E0,-3.362354994E0,-2.641534090E0
1.677052363E0,3.090519905E0,-3.509268045E0,-2.450485945E0
1.687052363E0,2.669175625E0,-3.255453587E0,-2.422844172E0
1.697052363E0,2.437657833E0,-2.968805075E0,-2.387872219E0
1.707052363E0,-4.751004577E-1,1.200197458E0,-1.278999090E0
1.717052363E0,-1.251357436E0,2.152383804E0,-9.721920490E-1
1.727052363E0,-1.428202987E0,1.945758581E0,-7.825183868E-1
1.737052363E0,-1.483944416E0,1.208749652E0,-6.472117305E-1
1.747052363E0,-1.547016263E0,2.191479057E-1,-7.159340382E-1
1.757052363E0,-1.605048418E0,-1.113912821E0,-9.867000580E-1
1.767052363E0,-1.585806131E0,-1.420261741E0,-9.602801800E-1
1.777052363E0,-1.639867783E0,-1.510669708E0,-6.957755089E-1
1.787052363E0,-2.078621626E0,-7.675521970E-1,-2.747366428E-1
1.797052363E0,-2.554332972E0,2.220495194E-1,2.661845386E-1
1.807052363E0,-1.850616217E0,-3.358231783E-1,8.148942590E-1
1.817052363E0,-4.445571899E-1,-1.664455056E0,-4.251621962E-1
1.827052363E0,-1.547016203E-1,-2.444988251E0,7.437284291E-2
1.837052363E0,9.636399150E-2,-4.204432964E0,1.701565146E0
1.847052363E0,-1.400408596E-1,-4.049731255E0,3.166572809E0
1.857052363E0,6.337726861E-2,-3.073415756E0,3.724445343E0
1.867052363E0,-9.816604257E-1,-3.842800617E0,5.707161427E0
