"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.356676138E0,8.872817457E-2,6.169738993E-2,2.306016348E-2
1.366676138E0,1.324050426E-1,1.053742543E-1,-6.108652335E-3
1.376676138E0,1.443169117E-1,1.078177169E-1,-2.962696366E-2
1.386676138E0,1.513418704E-1,1.348485053E-1,-2.458732575E-2
1.396676138E0,1.547016203E-1,1.705841124E-1,-2.809980139E-2
1.406676138E0,1.580613852E-1,2.014328092E-1,-6.093380973E-2
1.416676138E0,1.748601794E-1,2.336559594E-1,-8.521570265E-2
1.426676138E0,2.452623993E-1,3.006984293E-1,-1.130100712E-1
1.436676138E0,1.779145002E-1,1.711949855E-1,-9.407325089E-2
1.446676138E0,-4.703662544E-2,-1.572977938E-2,-1.160643995E-2
1.456676138E0,-2.292271852E-1,-8.689557761E-2,7.864890248E-2
1.466676138E0,-2.977968156E-1,-1.072068512E-1,6.887505949E-2
1.476676138E0,-2.325869352E-1,-1.145372316E-1,-3.023782931E-2
1.486676138E0,-1.055269688E-1,-5.772676691E-2,-7.773260027E-2
1.496676138E0,3.222314268E-2,2.596177347E-2,-7.254024595E-2
1.506676138E0,4.718934000E-2,2.596177394E-3,-3.619376570E-2
1.516676138E0,-4.260785133E-2,-9.071348608E-2,2.703078650E-2
1.526676138E0,-1.401935667E-1,-1.435533315E-1,8.674286306E-2
1.536676138E0,-2.244929820E-1,-1.742493063E-1,1.525636017E-1
1.546676138E0,-2.402227521E-1,-1.954768747E-1,1.806633919E-1
1.556676138E0,-2.411390543E-1,-2.186897546E-1,1.805106848E-1
1.566676138E0,-2.776382565E-1,-2.486221492E-1,1.754710376E-1
1.576676138E0,-3.411682248E-1,-2.823724449E-1,1.840231568E-1
1.586676138E0,-4.060726762E-1,-2.953533530E-1,1.889100820E-1
1.596676138E0,-4.178318381E-1,-2.377792895E-1,1.598939747E-1
1.606676138E0,-3.933972120E-1,-2.180788964E-1,1.808161139E-1
1.616676138E0,-3.400992155E-1,-1.511891484E-1,1.748601794E-1
1.626676138E0,-2.538145185E-1,-7.788532227E-2,1.715004146E-1
